county,fips,year,age_group,opioid_deaths
Denton,48121,2022,15-24,5
Denton,48121,2022,25-34,17
Denton,48121,2022,35-44,18
Denton,48121,2022,45-54,12
Denton,48121,2022,55-64,7
Denton,48121,2022,65+,5
Fort Bend,48157,2018,15-24,2
Fort Bend,48157,2018,25-34,9
Fort Bend,48157,2018,35-44,8
Fort Bend,48157,2018,45-54,5
Fort Bend,48157,2018,55-64,5
Fort Bend,48157,2018,65+,3
Fort Bend,48157,2019,15-24,3
Fort Bend,48157,2019,25-34,12
Fort Bend,48157,2019,35-44,12
Fort Bend,48157,2019,45-54,7
Fort Bend,48157,2019,55-64,3
Fort Bend,48157,2019,65+,3
Fort Bend,48157,2020,15-24,3
Fort Bend,48157,2020,25-34,14
Fort Bend,48157,2020,35-44,14
Fort Bend,48157,2020,45-54,7
Fort Bend,48157,2020,55-64,5
Fort Bend,48157,2020,65+,4
Fort Bend,48157,2021,15-24,4
Fort Bend,48157,2021,25-34,14
Fort Bend,48157,2021,35-44,13
Fort Bend,48157,2021,45-54,10
Fort Bend,48157,2021,55-64,8
Fort Bend,48157,2021,65+,3
Fort Bend,48157,2022,15-24,4
Fort Bend,48157,2022,25-34,14
Fort Bend,48157,2022,35-44,12
Fort Bend,48157,2022,45-54,10
Fort Bend,48157,2022,55-64,6
Fort Bend,48157,2022,65+,5
Montgomery,48339,2018,15-24,3
Montgomery,48339,2018,25-34,12
Montgomery,48339,2018,35-44,12
Montgomery,48339,2018,45-54,9
Montgomery,48339,2018,55-64,5
Montgomery,48339,2018,65+,3
Montgomery,48339,2019,15-24,4
Montgomery,48339,2019,25-34,12
Montgomery,48339,2019,35-44,14
Montgomery,48339,2019,45-54,9
Montgomery,48339,2019,55-64,6
Montgomery,48339,2019,65+,4
Montgomery,48339,2020,15-24,4
Montgomery,48339,2020,25-34,20
Montgomery,48339,2020,35-44,17
Montgomery,48339,2020,45-54,12
Montgomery,48339,2020,55-64,9
Montgomery,48339,2020,65+,6
Montgomery,48339,2021,15-24,7
Montgomery,48339,2021,25-34,22
Montgomery,48339,2021,35-44,18
Montgomery,48339,2021,45-54,15
Montgomery,48339,2021,55-64,9
Montgomery,48339,2021,65+,5
Montgomery,48339,2022,15-24,5
Montgomery,48339,2022,25-34,20
Montgomery,48339,2022,35-44,16
Montgomery,48339,2022,45-54,12
Montgomery,48339,2022,55-64,8
Montgomery,48339,2022,65+,5
Williamson,48491,2018,15-24,2
Williamson,48491,2018,25-34,9
Williamson,48491,2018,35-44,7
Williamson,48491,2018,45-54,5
Williamson,48491,2018,55-64,4
Williamson,48491,2018,65+,3
Williamson,48491,2019,15-24,3
Williamson,48491,2019,25-34,13
Williamson,48491,2019,35-44,10
Williamson,48491,2019,45-54,7
Williamson,48491,2019,55-64,4
Williamson,48491,2019,65+,3
Williamson,48491,2020,15-24,3
Williamson,48491,2020,25-34,14
Williamson,48491,2020,35-44,14
Williamson,48491,2020,45-54,8
Williamson,48491,2020,55-64,6
Williamson,48491,2020,65+,3
Williamson,48491,2021,15-24,4
Williamson,48491,2021,25-34,16
Williamson,48491,2021,35-44,11
Williamson,48491,2021,45-54,7
Williamson,48491,2021,55-64,6
Williamson,48491,2021,65+,3
Williamson,48491,2022,15-24,4
Williamson,48491,2022,25-34,14
Williamson,48491,2022,35-44,13
Williamson,48491,2022,45-54,9
Williamson,48491,2022,55-64,6
Williamson,48491,2022,65+,4
Cameron,48061,2018,15-24,0
Cameron,48061,2018,25-34,3
Cameron,48061,2018,35-44,3
Cameron,48061,2018,45-54,2
Cameron,48061,2018,55-64,1
Cameron,48061,2018,65+,0
Cameron,48061,2019,15-24,1
Cameron,48061,2019,25-34,4
Cameron,48061,2019,35-44,4
Cameron,48061,2019,45-54,2
Cameron,48061,2019,55-64,2
Cameron,48061,2019,65+,1
Cameron,48061,2020,15-24,1
Cameron,48061,2020,25-34,5
Cameron,48061,2020,35-44,4
Cameron,48061,2020,45-54,3
Cameron,48061,2020,55-64,2
Cameron,48061,2020,65+,1
Cameron,48061,2021,15-24,1
Cameron,48061,2021,25-34,6
Cameron,48061,2021,35-44,5
Cameron,48061,2021,45-54,4
Cameron,48061,2021,55-64,2
Cameron,48061,2021,65+,1
Cameron,48061,2022,15-24,1
Cameron,48061,2022,25-34,5
Cameron,48061,2022,35-44,4
Cameron,48061,2022,45-54,3
Cameron,48061,2022,55-64,2
Cameron,48061,2022,65+,1
Nueces,48355,2018,15-24,2
Nueces,48355,2018,25-34,8
Nueces,48355,2018,35-44,7
Nueces,48355,2018,45-54,5
Nueces,48355,2018,55-64,3
Nueces,48355,2018,65+,1
Nueces,48355,2019,15-24,2
Nueces,48355,2019,25-34,13
Nueces,48355,2019,35-44,12
Nueces,48355,2019,45-54,8
Nueces,48355,2019,55-64,5
Nueces,48355,2019,65+,2
Nueces,48355,2020,15-24,2
Nueces,48355,2020,25-34,11
Nueces,48355,2020,35-44,12
Nueces,48355,2020,45-54,7
Nueces,48355,2020,55-64,5
Nueces,48355,2020,65+,4
Nueces,48355,2021,15-24,3
Nueces,48355,2021,25-34,14
Nueces,48355,2021,35-44,14
Nueces,48355,2021,45-54,11
Nueces,48355,2021,55-64,7
Nueces,48355,2021,65+,3
Nueces,48355,2022,15-24,3
Nueces,48355,2022,25-34,13
Nueces,48355,2022,35-44,12
Nueces,48355,2022,45-54,9
Nueces,48355,2022,55-64,6
Nueces,48355,2022,65+,3
El Paso,48141,2018,15-24,3
El Paso,48141,2018,25-34,12
El Paso,48141,2018,35-44,12
El Paso,48141,2018,45-54,6
El Paso,48141,2018,55-64,5
El Paso,48141,2018,65+,3
El Paso,48141,2019,15-24,3
El Paso,48141,2019,25-34,14
El Paso,48141,2019,35-44,13
El Paso,48141,2019,45-54,7
El Paso,48141,2019,55-64,5
El Paso,48141,2019,65+,3
El Paso,48141,2020,15-24,4
El Paso,48141,2020,25-34,14
El Paso,48141,2020,35-44,14
El Paso,48141,2020,45-54,9
El Paso,48141,2020,55-64,6
El Paso,48141,2020,65+,5
El Paso,48141,2021,15-24,5
El Paso,48141,2021,25-34,14
El Paso,48141,2021,35-44,17
El Paso,48141,2021,45-54,11
El Paso,48141,2021,55-64,7
El Paso,48141,2021,65+,4
El Paso,48141,2022,15-24,4
El Paso,48141,2022,25-34,16
El Paso,48141,2022,35-44,17
El Paso,48141,2022,45-54,11
El Paso,48141,2022,55-64,9
El Paso,48141,2022,65+,5
Brazoria,48039,2018,15-24,2
Brazoria,48039,2018,25-34,7
Brazoria,48039,2018,35-44,6
Brazoria,48039,2018,45-54,4
Brazoria,48039,2018,55-64,3
Brazoria,48039,2018,65+,2
Brazoria,48039,2019,15-24,2
Brazoria,48039,2019,25-34,11
Brazoria,48039,2019,35-44,9
Brazoria,48039,2019,45-54,6
Brazoria,48039,2019,55-64,3
Brazoria,48039,2019,65+,2
Brazoria,48039,2020,15-24,2
Brazoria,48039,2020,25-34,10
Brazoria,48039,2020,35-44,12
Brazoria,48039,2020,45-54,7
Brazoria,48039,2020,55-64,5
Brazoria,48039,2020,65+,3
Brazoria,48039,2021,15-24,3
Brazoria,48039,2021,25-34,15
Brazoria,48039,2021,35-44,14
Brazoria,48039,2021,45-54,11
Brazoria,48039,2021,55-64,7
Brazoria,48039,2021,65+,3
Brazoria,48039,2022,15-24,3
Brazoria,48039,2022,25-34,11
Brazoria,48039,2022,35-44,10
Brazoria,48039,2022,45-54,8
Brazoria,48039,2022,55-64,4
Brazoria,48039,2022,65+,3
Galveston,48167,2018,15-24,2
Galveston,48167,2018,25-34,8
Galveston,48167,2018,35-44,8
Galveston,48167,2018,45-54,5
Galveston,48167,2018,55-64,4
Galveston,48167,2018,65+,2
Galveston,48167,2019,15-24,3
Galveston,48167,2019,25-34,10
Galveston,48167,2019,35-44,12
Galveston,48167,2019,45-54,6
Galveston,48167,2019,55-64,5
Galveston,48167,2019,65+,3
Galveston,48167,2020,15-24,3
Galveston,48167,2020,25-34,12
Galveston,48167,2020,35-44,10
Galveston,48167,2020,45-54,9
Galveston,48167,2020,55-64,6
Galveston,48167,2020,65+,3
Galveston,48167,2021,15-24,5
Galveston,48167,2021,25-34,16
Galveston,48167,2021,35-44,17
Galveston,48167,2021,45-54,12
Galveston,48167,2021,55-64,8
Galveston,48167,2021,65+,4
Galveston,48167,2022,15-24,4
Galveston,48167,2022,25-34,17
Galveston,48167,2022,35-44,16
Galveston,48167,2022,45-54,11
Galveston,48167,2022,55-64,6
Galveston,48167,2022,65+,4
Lubbock,48303,2018,15-24,2
Lubbock,48303,2018,25-34,6
Lubbock,48303,2018,35-44,7
Lubbock,48303,2018,45-54,4
Lubbock,48303,2018,55-64,3
Lubbock,48303,2018,65+,1
Lubbock,48303,2019,15-24,2
Lubbock,48303,2019,25-34,9
Lubbock,48303,2019,35-44,8
Lubbock,48303,2019,45-54,5
Lubbock,48303,2019,55-64,4
Lubbock,48303,2019,65+,2
Lubbock,48303,2020,15-24,3
Lubbock,48303,2020,25-34,11
Lubbock,48303,2020,35-44,9
Lubbock,48303,2020,45-54,5
Lubbock,48303,2020,55-64,5
Lubbock,48303,2020,65+,2
Lubbock,48303,2021,15-24,3
Lubbock,48303,2021,25-34,12
Lubbock,48303,2021,35-44,13
Lubbock,48303,2021,45-54,7
Lubbock,48303,2021,55-64,4
Lubbock,48303,2021,65+,3
Lubbock,48303,2022,15-24,3
Lubbock,48303,2022,25-34,11
Lubbock,48303,2022,35-44,14
Lubbock,48303,2022,45-54,8
Lubbock,48303,2022,55-64,6
Lubbock,48303,2022,65+,3
Jefferson,48245,2018,15-24,2
Jefferson,48245,2018,25-34,6
Jefferson,48245,2018,35-44,6
Jefferson,48245,2018,45-54,5
Jefferson,48245,2018,55-64,3
Jefferson,48245,2018,65+,2
Jefferson,48245,2019,15-24,2
Jefferson,48245,2019,25-34,8
Jefferson,48245,2019,35-44,8
Jefferson,48245,2019,45-54,4
Jefferson,48245,2019,55-64,3
Jefferson,48245,2019,65+,2
Jefferson,48245,2020,15-24,3
Jefferson,48245,2020,25-34,9
Jefferson,48245,2020,35-44,10
Jefferson,48245,2020,45-54,7
Jefferson,48245,2020,55-64,4
Jefferson,48245,2020,65+,3
Jefferson,48245,2021,15-24,4
Jefferson,48245,2021,25-34,11
Jefferson,48245,2021,35-44,10
Jefferson,48245,2021,45-54,8
Jefferson,48245,2021,55-64,6
Jefferson,48245,2021,65+,4
Jefferson,48245,2022,15-24,3
Jefferson,48245,2022,25-34,11
Jefferson,48245,2022,35-44,11
Jefferson,48245,2022,45-54,8
Jefferson,48245,2022,55-64,5
Jefferson,48245,2022,65+,3
Bell,48027,2018,15-24,2
Bell,48027,2018,25-34,10
Bell,48027,2018,35-44,8
Bell,48027,2018,45-54,5
Bell,48027,2018,55-64,4
Bell,48027,2018,65+,2
Bell,48027,2019,15-24,2
Bell,48027,2019,25-34,11
Bell,48027,2019,35-44,8
Bell,48027,2019,45-54,7
Bell,48027,2019,55-64,4
Bell,48027,2019,65+,2
Bell,48027,2020,15-24,2
Bell,48027,2020,25-34,12
Bell,48027,2020,35-44,9
Bell,48027,2020,45-54,7
Bell,48027,2020,55-64,5
Bell,48027,2020,65+,3
Bell,48027,2021,15-24,4
Bell,48027,2021,25-34,14
Bell,48027,2021,35-44,12
Bell,48027,2021,45-54,9
Bell,48027,2021,55-64,5
Bell,48027,2021,65+,3
Bell,48027,2022,15-24,3
Bell,48027,2022,25-34,14
Bell,48027,2022,35-44,11
Bell,48027,2022,45-54,8
Bell,48027,2022,55-64,4
Bell,48027,2022,65+,3
Webb,48479,2018,15-24,0
Webb,48479,2018,25-34,2
Webb,48479,2018,35-44,2
Webb,48479,2018,45-54,1
Webb,48479,2018,55-64,0
Webb,48479,2018,65+,0
Webb,48479,2019,15-24,0
Webb,48479,2019,25-34,2
Webb,48479,2019,35-44,3
Webb,48479,2019,45-54,2
Webb,48479,2019,55-64,1
Webb,48479,2019,65+,0
Webb,48479,2020,15-24,0
Webb,48479,2020,25-34,3
Webb,48479,2020,35-44,2
Webb,48479,2020,45-54,2
Webb,48479,2020,55-64,1
Webb,48479,2020,65+,1
Webb,48479,2021,15-24,1
Webb,48479,2021,25-34,4
Webb,48479,2021,35-44,3
Webb,48479,2021,45-54,2
Webb,48479,2021,55-64,2
Webb,48479,2021,65+,1
Webb,48479,2022,15-24,1
Webb,48479,2022,25-34,4
Webb,48479,2022,35-44,3
Webb,48479,2022,45-54,2
Webb,48479,2022,55-64,1
Webb,48479,2022,65+,1
