county,fips,urbanization,year,naloxone_deployments,survived_estimate,opioid_deaths,ems_reach_ratio,population,deployments_per_100k
Montgomery,48339,Large Fringe Metro,2019,96,75,54,1.78,620443,15.5
Montgomery,48339,Large Fringe Metro,2020,124,100,66,1.88,620443,20.0
Montgomery,48339,Large Fringe Metro,2021,148,119,81,1.83,620443,23.9
Montgomery,48339,Large Fringe Metro,2022,148,118,80,1.85,620443,23.9
Williamson,48491,Large Fringe Metro,2018,48,41,32,1.5,692003,6.9
Williamson,48491,Large Fringe Metro,2019,68,57,39,1.74,692003,9.8
Williamson,48491,Large Fringe Metro,2020,92,79,48,1.92,692003,13.3
Williamson,48491,Large Fringe Metro,2021,105,87,58,1.81,692003,15.2
Williamson,48491,Large Fringe Metro,2022,102,84,52,1.96,692003,14.7
Cameron,48061,Medium Metro,2018,16,12,12,1.33,423163,3.8
Cameron,48061,Medium Metro,2019,27,21,17,1.59,423163,6.4
Cameron,48061,Medium Metro,2020,28,23,21,1.33,423163,6.6
Cameron,48061,Medium Metro,2021,32,28,24,1.33,423163,7.6
Cameron,48061,Medium Metro,2022,32,25,20,1.6,423163,7.6
Nueces,48355,Medium Metro,2018,46,36,31,1.48,342834,13.4
Nueces,48355,Medium Metro,2019,63,49,42,1.5,342834,18.4
Nueces,48355,Medium Metro,2020,61,47,40,1.52,342834,17.8
Nueces,48355,Medium Metro,2021,61,53,50,1.22,342834,17.8
Nueces,48355,Medium Metro,2022,62,50,45,1.38,342834,18.1
El Paso,48141,Medium Metro,2018,65,54,45,1.44,865657,7.5
El Paso,48141,Medium Metro,2019,74,62,52,1.42,865657,8.5
El Paso,48141,Medium Metro,2020,86,71,51,1.69,865657,9.9
El Paso,48141,Medium Metro,2021,95,75,66,1.44,865657,11.0
El Paso,48141,Medium Metro,2022,85,67,62,1.37,865657,9.8
Brazoria,48039,Large Fringe Metro,2018,44,38,29,1.52,380434,11.6
Brazoria,48039,Large Fringe Metro,2019,60,49,34,1.76,380434,15.8
Brazoria,48039,Large Fringe Metro,2020,68,57,42,1.62,380434,17.9
Brazoria,48039,Large Fringe Metro,2021,91,71,55,1.65,380434,23.9
Brazoria,48039,Large Fringe Metro,2022,68,55,45,1.51,380434,17.9
Galveston,48167,Large Fringe Metro,2018,66,56,35,1.89,342139,19.3
Galveston,48167,Large Fringe Metro,2019,69,60,40,1.73,342139,20.2
Galveston,48167,Large Fringe Metro,2020,87,74,54,1.61,342139,25.4
Galveston,48167,Large Fringe Metro,2021,89,71,52,1.71,342139,26.0
Galveston,48167,Large Fringe Metro,2022,91,75,49,1.86,342139,26.6
Lubbock,48303,Medium Metro,2018,42,34,28,1.5,320096,13.1
Lubbock,48303,Medium Metro,2019,44,36,36,1.22,320096,13.7
Lubbock,48303,Medium Metro,2020,54,43,40,1.35,320096,16.9
Lubbock,48303,Medium Metro,2021,76,59,46,1.65,320096,23.7
Lubbock,48303,Medium Metro,2022,64,51,43,1.49,320096,20.0
Jefferson,48245,Small Metro,2018,34,28,27,1.26,252358,13.5
Jefferson,48245,Small Metro,2019,39,31,32,1.22,252358,15.5
Jefferson,48245,Small Metro,2020,43,34,43,1.0,252358,17.0
Jefferson,48245,Small Metro,2021,67,56,50,1.34,252358,26.5
Jefferson,48245,Small Metro,2022,57,44,44,1.3,252358,22.6
Bell,48027,Medium Metro,2018,45,39,28,1.61,362924,12.4
Bell,48027,Medium Metro,2019,59,51,36,1.64,362924,16.3
Bell,48027,Medium Metro,2020,51,41,40,1.27,362924,14.1
Bell,48027,Medium Metro,2021,64,54,43,1.49,362924,17.6
Bell,48027,Medium Metro,2022,70,60,45,1.56,362924,19.3
Webb,48479,Medium Metro,2018,10,8,8,1.25,276652,3.6
Webb,48479,Medium Metro,2019,13,11,10,1.3,276652,4.7
Webb,48479,Medium Metro,2020,20,17,14,1.43,276652,7.2
Webb,48479,Medium Metro,2021,19,15,13,1.46,276652,6.9
Webb,48479,Medium Metro,2022,23,18,14,1.64,276652,8.3
